block,count,faction,seat,backend,treatment,score,winShare,firstProductiveProjectEra,productiveProjectEras,projectComputeGained,agiDeclared,capability,customers,trust,productions,report,reportSha256,outcomes,outcomesSha256
13,4,platform_empire,2,weighted,baseline,13,0,,0,0,False,7,2,6,4,evidence/studies/simulation/20260906T215954383Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-13-1x4-baseline-b1b8a86b-b1a6-402b-95fe-67ab9977f489.json,sha256:d2cede16de28e84fd72d274dafda77035caa2a7711a0e7ded97cfec12bf72c0c,evidence/studies/simulation/20260906T215954383Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-13-1x4-baseline-b1b8a86b-b1a6-402b-95fe-67ab9977f489-outcomes.json,sha256:11c5535381d791e4c2cf9cbd50a392289a4a4d940cfe35b75702754a0b424643
13,4,platform_empire,2,weighted,infrastructure_plan_v1,25,1,4,1,3,True,10,3,6,4,evidence/studies/simulation/20260906T215954738Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-13-1x4-infrastructure-plan-v1-8c9eb9e5-b8fa-44a5-a72c-6c7e636eb463.json,sha256:e3d5abb734e73e44402f63637d6dfcb2da05efd6bb9c7d3ec327c109aacff1e9,evidence/studies/simulation/20260906T215954738Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-13-1x4-infrastructure-plan-v1-8c9eb9e5-b8fa-44a5-a72c-6c7e636eb463-outcomes.json,sha256:9925a0228423b53c37957656229211b70788f829203dd36115ada7173ac56022
13,4,platform_empire,2,weighted,research_deploy_plan_v1,20,1,,0,0,False,10,3,6,4,evidence/studies/simulation/20260906T215955090Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-13-1x4-research-deploy-plan-v1-c16d8910-db87-4197-af99-a3c2914591ad.json,sha256:e133298f03412532fe75135a02e0e3d920178c5f1d00d9bf1b623aee60096c2f,evidence/studies/simulation/20260906T215955090Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-13-1x4-research-deploy-plan-v1-c16d8910-db87-4197-af99-a3c2914591ad-outcomes.json,sha256:809f7c29ef0d5911a5f89828cfe8c4373984904ee44ec7f359d7e35ea58d3ab8
14,4,platform_empire,3,greedy,baseline,11,0,,0,0,False,3,1,5,4,evidence/studies/simulation/20260906T215955446Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-14-1x4-baseline-915f430f-054d-4698-b069-b66325a4c1e7.json,sha256:85dff399c1eefaa076afe4c905e127998e5d44c3c79c22fb5a4dd274a757fd26,evidence/studies/simulation/20260906T215955446Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-14-1x4-baseline-915f430f-054d-4698-b069-b66325a4c1e7-outcomes.json,sha256:7a116ab3903cb04823354e93473aa413616a81fc8e075b1922c94611c8ba8b7e
14,4,platform_empire,3,greedy,infrastructure_plan_v1,32,1,3,2,6,True,10,4,6,4,evidence/studies/simulation/20260906T215955802Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-14-1x4-infrastructure-plan-v1-7ac91a95-dd17-463d-a8db-ae494f377eab.json,sha256:b350c9693dad59da4f5a526066aa084cca635b4ca32dabf25a2c2ec3c43b2803,evidence/studies/simulation/20260906T215955802Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-14-1x4-infrastructure-plan-v1-7ac91a95-dd17-463d-a8db-ae494f377eab-outcomes.json,sha256:02cccc2765c2d60d8d120da635d0ef81d676f49d1fbf1693e089e6366345e503
14,4,platform_empire,3,greedy,research_deploy_plan_v1,26,1,,0,0,False,12,4,6,4,evidence/studies/simulation/20260906T215956152Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-14-1x4-research-deploy-plan-v1-d5d17483-19f7-4499-b243-4795b906099d.json,sha256:f565535fbbd2c9d2cb9d9a8731a9ff4ed27263132648d7172a4fed613ad6d5bb,evidence/studies/simulation/20260906T215956152Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-14-1x4-research-deploy-plan-v1-d5d17483-19f7-4499-b243-4795b906099d-outcomes.json,sha256:4cf9a9ae497a623dcaf62d36e25a6b6eebe58d0f068c16820067386f9aba124d
15,4,platform_empire,3,weighted,baseline,16,0,,0,0,False,9,3,4,4,evidence/studies/simulation/20260906T215956516Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-15-1x4-baseline-3033c2cc-8436-4886-8f81-ffd750500130.json,sha256:85908261d5b03168880925d35b651c0c0e719b8a67c5035ccbec7f80334a1d7b,evidence/studies/simulation/20260906T215956516Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-15-1x4-baseline-3033c2cc-8436-4886-8f81-ffd750500130-outcomes.json,sha256:60feea8a4ccd1b504065860d3378ba6330a6e4f134a281cf68a571b78407b595
15,4,platform_empire,3,weighted,infrastructure_plan_v1,15,0,3,2,6,False,7,2,3,4,evidence/studies/simulation/20260906T215956878Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-15-1x4-infrastructure-plan-v1-25f99a88-fb16-47e0-bea1-d66e029f5fa9.json,sha256:557f4388b8fb0e0f70b81a0a7f560e127f209a2f2105dae0e8de6995c38eb729,evidence/studies/simulation/20260906T215956878Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-15-1x4-infrastructure-plan-v1-25f99a88-fb16-47e0-bea1-d66e029f5fa9-outcomes.json,sha256:72e68ab0f4256cca8b20c24a3a07662fbaa008ce92a6d64054f16e600a4d5f6d
15,4,platform_empire,3,weighted,research_deploy_plan_v1,19,1,,0,0,False,6,3,6,4,evidence/studies/simulation/20260906T215957244Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-15-1x4-research-deploy-plan-v1-74ebdeb8-1a3b-4e52-95e8-d180ca3a79f3.json,sha256:cd9db7480969558412b9958e9517f74d3542a4a4ee544b4c28e41cfbd17622f6,evidence/studies/simulation/20260906T215957244Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-15-1x4-research-deploy-plan-v1-74ebdeb8-1a3b-4e52-95e8-d180ca3a79f3-outcomes.json,sha256:8128b74b9c479495cb559cfd9f2aef051c46cbbdb98a8ad843c2b3832b57199b
16,4,imperial_research_lab,0,greedy,baseline,17,0,,0,0,False,12,2,6,4,evidence/studies/simulation/20260906T215957598Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-16-1x4-baseline-4f053672-8588-478b-919d-f024d8ad9ff4.json,sha256:99fec8f72e740607fd8a423eb071a0d879f2237ecced025aa6de0eca8856e0d9,evidence/studies/simulation/20260906T215957598Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-16-1x4-baseline-4f053672-8588-478b-919d-f024d8ad9ff4-outcomes.json,sha256:1e93580425c579295e9c82bcb1f2335cad796e3ca62772409487b6a9ab1134ec
16,4,imperial_research_lab,0,greedy,infrastructure_plan_v1,18,0,3,2,4,False,8,3,0,4,evidence/studies/simulation/20260906T215957945Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-16-1x4-infrastructure-plan-v1-77c63ba5-99ce-439d-a323-719798ca7f03.json,sha256:91354f25f00b9e8db8fb875fdd6ba8e753455d0ed2ed9b6a0ceacc8ebc3d2c74,evidence/studies/simulation/20260906T215957945Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-16-1x4-infrastructure-plan-v1-77c63ba5-99ce-439d-a323-719798ca7f03-outcomes.json,sha256:76983381add584c3b2cca267b2789fbbd2dab6b6c73b709fd9084fae2b1dc1c7
16,4,imperial_research_lab,0,greedy,research_deploy_plan_v1,23,1,,0,0,False,12,4,6,4,evidence/studies/simulation/20260906T215958292Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-16-1x4-research-deploy-plan-v1-cb9e6cf0-9da0-4689-9d58-d51a4917f219.json,sha256:da9104cb459a177b5154570d572d5ad424fc3be682e8fdf5a46c10f7b5b000c1,evidence/studies/simulation/20260906T215958292Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-16-1x4-research-deploy-plan-v1-cb9e6cf0-9da0-4689-9d58-d51a4917f219-outcomes.json,sha256:284a42334d4478c1f330f2ea5d36228b70094a275c2e71b978cc67f4139d5fc8
17,4,imperial_research_lab,0,weighted,baseline,17,0,,0,0,False,6,2,6,4,evidence/studies/simulation/20260906T215958642Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-17-1x4-baseline-f2354e2b-5f25-4548-8e82-f9402521d09e.json,sha256:24c0bb5cde63ca6c72dfe3730eb407e669977a7cb41e4409d8a294b1b87bb1fe,evidence/studies/simulation/20260906T215958642Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-17-1x4-baseline-f2354e2b-5f25-4548-8e82-f9402521d09e-outcomes.json,sha256:5d46035ff5a960ce28923019c376cae7afb06cc36abfbd9e1616a5d7ccaae40f
17,4,imperial_research_lab,0,weighted,infrastructure_plan_v1,26,1,4,1,3,True,10,3,6,4,evidence/studies/simulation/20260906T215958992Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-17-1x4-infrastructure-plan-v1-12d632f9-a07e-4af5-8040-938e8aad7d16.json,sha256:aba2928a47da4863c0e1e54c6b08b2ecfb55cb1f50b3f2352d1ee472a5918ed2,evidence/studies/simulation/20260906T215958992Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-17-1x4-infrastructure-plan-v1-12d632f9-a07e-4af5-8040-938e8aad7d16-outcomes.json,sha256:6d23de16aab5639bd9e41c66de12c8726a63df08f9119cd559bb30611385c0d3
17,4,imperial_research_lab,0,weighted,research_deploy_plan_v1,25,1,,0,0,False,9,3,6,4,evidence/studies/simulation/20260906T215959341Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-17-1x4-research-deploy-plan-v1-9f389e91-6db6-4711-a007-0c28736e704a.json,sha256:396c046b27071dc0183725f4309ae3c674c73aa8088843eae4b668ba5f4de6bc,evidence/studies/simulation/20260906T215959341Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-17-1x4-research-deploy-plan-v1-9f389e91-6db6-4711-a007-0c28736e704a-outcomes.json,sha256:7266ec583b481e9d6a602b67a62161d14aac6979db386467ea155959fd46aaf1
18,4,imperial_research_lab,1,greedy,baseline,19,1,,0,0,False,9,2,6,4,evidence/studies/simulation/20260906T215959682Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-18-1x4-baseline-59e3e4cd-6c0f-4128-839e-675f1348105e.json,sha256:595d10a34fe42018136a06193f40dd63b38fe7186e95ee17ea654b2f20c113f6,evidence/studies/simulation/20260906T215959682Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-18-1x4-baseline-59e3e4cd-6c0f-4128-839e-675f1348105e-outcomes.json,sha256:2653de7493d7044636ea48c4e983da9550c8af706fb84288c2b9574a6d8742d3
18,4,imperial_research_lab,1,greedy,infrastructure_plan_v1,21,1,3,2,6,False,6,3,6,4,evidence/studies/simulation/20260906T220000018Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-18-1x4-infrastructure-plan-v1-19b73118-2e95-4294-830e-555233d3d6a8.json,sha256:a7663939f5a9140ef70dbe5aacae4037efdd5cf133dbbebd8075306eb6334d69,evidence/studies/simulation/20260906T220000018Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-18-1x4-infrastructure-plan-v1-19b73118-2e95-4294-830e-555233d3d6a8-outcomes.json,sha256:bebcd28d8531e14a0977a3af66f2b496c2284e7eda0202767fad54af76de10d6
18,4,imperial_research_lab,1,greedy,research_deploy_plan_v1,26,1,,0,0,False,12,4,6,4,evidence/studies/simulation/20260906T220000356Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-18-1x4-research-deploy-plan-v1-6117508d-24f7-4d32-afeb-f20cebb545b7.json,sha256:a12803f17a38b4cc6e1600fab674432441bccef4fc2623bc672b5f4b0dc021ae,evidence/studies/simulation/20260906T220000356Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-18-1x4-research-deploy-plan-v1-6117508d-24f7-4d32-afeb-f20cebb545b7-outcomes.json,sha256:2113fa4e2c2f6cc81b7a86cdd2ac1b18983b7e752dc7f75b003373b482f262e8
19,4,imperial_research_lab,1,weighted,baseline,13,0,,0,0,False,6,2,4,4,evidence/studies/simulation/20260906T220000722Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-19-1x4-baseline-9532ea79-0aad-48d8-9ca3-b7c710adbbb1.json,sha256:3c8d8e1747e5773d752235186c501649e713f4e26f3db42f3a02fd8c9beecdf3,evidence/studies/simulation/20260906T220000722Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-19-1x4-baseline-9532ea79-0aad-48d8-9ca3-b7c710adbbb1-outcomes.json,sha256:da3fd13cdbb714cf9045a72d9592b536d700ad738b0693a3a0fac37de80ddf58
19,4,imperial_research_lab,1,weighted,infrastructure_plan_v1,12,0,4,1,3,False,4,2,4,4,evidence/studies/simulation/20260906T220001088Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-19-1x4-infrastructure-plan-v1-d0c91239-dc4d-4974-8b4c-96f95194623c.json,sha256:1588dcebc42a9e63a07a04b16625d0395f78543c9831c0b7feb8db3e6e5ca4c7,evidence/studies/simulation/20260906T220001088Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-19-1x4-infrastructure-plan-v1-d0c91239-dc4d-4974-8b4c-96f95194623c-outcomes.json,sha256:3e627982d988f6d35dee38e988fb03a853486365ca170a4a57f5d61f10086665
19,4,imperial_research_lab,1,weighted,research_deploy_plan_v1,19,1,,0,0,False,9,3,6,4,evidence/studies/simulation/20260906T220001455Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-19-1x4-research-deploy-plan-v1-eb98d08a-5fc8-45b9-973a-842126dbef22.json,sha256:a92dcbd3f23b279ee03f7a2fc11e79918275fa99005f0871d4c446f09e64ad31,evidence/studies/simulation/20260906T220001455Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-19-1x4-research-deploy-plan-v1-eb98d08a-5fc8-45b9-973a-842126dbef22-outcomes.json,sha256:a77d96a1caed7b46a6e41e218846c15d8680689310a56e8ab28c95ee273baece
20,4,imperial_research_lab,2,greedy,baseline,15,0,,0,0,False,10,2,5,4,evidence/studies/simulation/20260906T220001797Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-20-1x4-baseline-7a2c24b7-faa2-41a0-8752-a1fd384de9f8.json,sha256:0a255862a9db50e99be97ec3f53d969f218a9e0257fd70b2cf0935271bdc9017,evidence/studies/simulation/20260906T220001797Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-20-1x4-baseline-7a2c24b7-faa2-41a0-8752-a1fd384de9f8-outcomes.json,sha256:0394615109bd7a90bd00a58604e8939db9ce583eabe374fe248d7f2fd39e9a49
20,4,imperial_research_lab,2,greedy,infrastructure_plan_v1,21,0,3,2,3,False,8,4,2,4,evidence/studies/simulation/20260906T220002140Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-20-1x4-infrastructure-plan-v1-ff128f37-8bae-4b43-93ad-dc39261a28ce.json,sha256:25c6e894a7de04f2fcafd6c0ff76d12991ff30c32ae14049148be06a832d234f,evidence/studies/simulation/20260906T220002140Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-20-1x4-infrastructure-plan-v1-ff128f37-8bae-4b43-93ad-dc39261a28ce-outcomes.json,sha256:ad5254f3e471bc8e98ac612e1a6e578598d4b3470ddb592f46fb98cd2b46dd21
20,4,imperial_research_lab,2,greedy,research_deploy_plan_v1,25,1,,0,0,False,12,4,6,4,evidence/studies/simulation/20260906T220002482Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-20-1x4-research-deploy-plan-v1-5f4eb110-83b9-46ee-9ba4-2f539325c4bf.json,sha256:0f6f6875dffbd4a2a8161c47f2359a2ba22c4630f97415c6378b8efe961ffb11,evidence/studies/simulation/20260906T220002482Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-20-1x4-research-deploy-plan-v1-5f4eb110-83b9-46ee-9ba4-2f539325c4bf-outcomes.json,sha256:9f95d289d5878bbcfaf726f742163eede944ffaa23578818f2d27b975ba20e97
21,4,imperial_research_lab,2,weighted,baseline,15,1,,0,0,False,5,2,6,4,evidence/studies/simulation/20260906T220002829Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-21-1x4-baseline-56581d42-b587-41c8-8043-f92544694b62.json,sha256:94e0e7581c54bae047773eacef5232ffbf76832ed5993b06fdeef3e4645db532,evidence/studies/simulation/20260906T220002829Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-21-1x4-baseline-56581d42-b587-41c8-8043-f92544694b62-outcomes.json,sha256:97f9775c4da6b1a4622010d27a3b503e7bd000320658f26951637dca888a692a
21,4,imperial_research_lab,2,weighted,infrastructure_plan_v1,24,1,3,2,6,True,12,1,6,4,evidence/studies/simulation/20260906T220003184Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-21-1x4-infrastructure-plan-v1-cab03d8b-3ced-4fdb-a9d7-b90bb758f223.json,sha256:3bc5a9985169394f503a4bdf64a6461d9f3c7c3b40f595fc5e09aeb8b00c1d45,evidence/studies/simulation/20260906T220003184Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-21-1x4-infrastructure-plan-v1-cab03d8b-3ced-4fdb-a9d7-b90bb758f223-outcomes.json,sha256:baae6ee2f132a421635c0c4c27c380758f95f3ef643f6db00555722b272dd2b2
21,4,imperial_research_lab,2,weighted,research_deploy_plan_v1,20,1,,0,0,False,9,3,6,4,evidence/studies/simulation/20260906T220003535Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-21-1x4-research-deploy-plan-v1-6da5f95e-f37c-4fb2-8fbd-a11dfd316609.json,sha256:724cba6f04e0c46df9988b8eee5cdce3e4ac355a0fed03c2d9f8be58058ce86f,evidence/studies/simulation/20260906T220003535Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-21-1x4-research-deploy-plan-v1-6da5f95e-f37c-4fb2-8fbd-a11dfd316609-outcomes.json,sha256:edc6bd6e67db6ec1c46c7fbb7a763e23421c99840b52c2c20f75442359319a93
22,4,imperial_research_lab,3,greedy,baseline,15,0,,0,0,False,5,2,6,4,evidence/studies/simulation/20260906T220003891Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-22-1x4-baseline-7262014e-d933-4f53-a8eb-59a9cf116e0a.json,sha256:5da23b7d16c0f03ca7f635c5314a51bc14b622b21eba4abdfe159adcd8aa5818,evidence/studies/simulation/20260906T220003891Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-22-1x4-baseline-7262014e-d933-4f53-a8eb-59a9cf116e0a-outcomes.json,sha256:522a22d641a71d1c57e248e030391f50c47d755252c9a65cc88ff1fb21eaf7e9
22,4,imperial_research_lab,3,greedy,infrastructure_plan_v1,27,1,3,2,6,True,12,3,5,4,evidence/studies/simulation/20260906T220004248Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-22-1x4-infrastructure-plan-v1-771c67fc-fbf5-4806-8196-d06164efa4fa.json,sha256:49ed372e95d0ab901bab7f837647c37d9d2b2552803c11b6b8ba066c55da2ec9,evidence/studies/simulation/20260906T220004248Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-22-1x4-infrastructure-plan-v1-771c67fc-fbf5-4806-8196-d06164efa4fa-outcomes.json,sha256:a4e81971671c330d127cb654ca66c47f554ca6ca3aea05b8f81334766a648666
22,4,imperial_research_lab,3,greedy,research_deploy_plan_v1,25,1,,0,0,False,12,4,6,4,evidence/studies/simulation/20260906T220004600Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-22-1x4-research-deploy-plan-v1-a382fcec-0bac-4371-9705-311aa98327f0.json,sha256:67ae5884a1815e9428d674b5360aa4e8a2abafc2c42a1daa8745a3e15422edb8,evidence/studies/simulation/20260906T220004600Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-22-1x4-research-deploy-plan-v1-a382fcec-0bac-4371-9705-311aa98327f0-outcomes.json,sha256:a8e18be1f21e2b7b4ba642d3119422126c0222e1770889fc897053be83b74811
23,4,imperial_research_lab,3,weighted,baseline,18,0,,0,0,False,11,3,4,4,evidence/studies/simulation/20260906T220004959Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-23-1x4-baseline-48636d2e-c522-4cb3-9fd8-7f50f199e829.json,sha256:26c1f56c4173dc7e8039382f7bacbcbe356e9f13e1a009155c61ea844f658ba5,evidence/studies/simulation/20260906T220004959Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-23-1x4-baseline-48636d2e-c522-4cb3-9fd8-7f50f199e829-outcomes.json,sha256:08be2b5018213a38b66d06b260744baf988a9b6f383a147999abfa183dc61214
23,4,imperial_research_lab,3,weighted,infrastructure_plan_v1,26,1,,0,0,True,11,4,6,4,evidence/studies/simulation/20260906T220005336Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-23-1x4-infrastructure-plan-v1-1fcb1bef-b70a-4851-a6ac-7400182210b7.json,sha256:c3340c2a64870ed2a128242f10c505e2e5becee9b3d558378937d2cd8a2d78be,evidence/studies/simulation/20260906T220005336Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-23-1x4-infrastructure-plan-v1-1fcb1bef-b70a-4851-a6ac-7400182210b7-outcomes.json,sha256:a346c1df7ce92dc7b812784367b26a57523a99b5543bbf3722cc06a10c5b32fd
23,4,imperial_research_lab,3,weighted,research_deploy_plan_v1,19,0,,0,0,False,12,4,4,4,evidence/studies/simulation/20260906T220005687Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-23-1x4-research-deploy-plan-v1-b391ca67-0e36-4076-b4b7-651d392177f0.json,sha256:e99b89ab5622513257ddc780e648a4a1b0271b0f62bd7cca0fd119bf9f9701e3,evidence/studies/simulation/20260906T220005687Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-23-1x4-research-deploy-plan-v1-b391ca67-0e36-4076-b4b7-651d392177f0-outcomes.json,sha256:2ea93ca8899a6de028f84e2d333ca4a3cecd20fa49f810c29f1fe4ea7abf00ec
24,4,vertical_empire,0,greedy,baseline,10,0,,0,0,False,6,2,3,4,evidence/studies/simulation/20260906T220006051Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-24-1x4-baseline-ba986ac8-fec6-4da1-868c-799d2873ad3e.json,sha256:08a29210fbcf2328bd41fec34d3a21971a4b69ea649d082e00400be26f66e98a,evidence/studies/simulation/20260906T220006051Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-24-1x4-baseline-ba986ac8-fec6-4da1-868c-799d2873ad3e-outcomes.json,sha256:c40e95bb1781ed843eea041f5697eb4223f6757029eec1f8834fb1760f0969fa
24,4,vertical_empire,0,greedy,infrastructure_plan_v1,24,1,3,2,4,True,9,4,4,4,evidence/studies/simulation/20260906T220006405Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-24-1x4-infrastructure-plan-v1-0b372616-9894-4e30-b960-2298b64e4073.json,sha256:933aa06e0c0c58cb657a0fcc9e4c19901451cd4ba11c2a43fb54c65bb282b6ae,evidence/studies/simulation/20260906T220006405Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-24-1x4-infrastructure-plan-v1-0b372616-9894-4e30-b960-2298b64e4073-outcomes.json,sha256:801f144bb52e4d58ca2cf7ed4f94bb56e3d534a3feaba837b9d01a63b175c477
24,4,vertical_empire,0,greedy,research_deploy_plan_v1,23,1,,0,0,False,12,4,6,4,evidence/studies/simulation/20260906T220006768Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-24-1x4-research-deploy-plan-v1-34ebc484-c688-419f-a12a-472d08b5c8e0.json,sha256:adcb2528fc7bdcd57413449753ab16e75fbe60bd21cf18e7ce15a7081c6d0a13,evidence/studies/simulation/20260906T220006768Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-24-1x4-research-deploy-plan-v1-34ebc484-c688-419f-a12a-472d08b5c8e0-outcomes.json,sha256:a446a00e8de33795f10c24f9ea043f0dacaaecddea216c09b17e8c3defcb193b
25,4,vertical_empire,0,weighted,baseline,9,0,,0,0,False,6,1,5,4,evidence/studies/simulation/20260906T220007122Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-25-1x4-baseline-4d9f593a-0df5-4693-b874-ddcd20b0b645.json,sha256:1c6fc8b57437f088ba2f557d8e470d38cbf81348b38f07fd9b454273ffd0df9c,evidence/studies/simulation/20260906T220007122Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-25-1x4-baseline-4d9f593a-0df5-4693-b874-ddcd20b0b645-outcomes.json,sha256:113e4914d0657ce8fdfedf31abd48fcf1dfb520fa2e560cc1829b7df99cbd9f3
25,4,vertical_empire,0,weighted,infrastructure_plan_v1,14,0,,0,0,False,5,2,6,4,evidence/studies/simulation/20260906T220007467Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-25-1x4-infrastructure-plan-v1-ff946aaf-b5f3-4032-adbd-14102ca992cf.json,sha256:ea53c7266f4ec8a82c628d2325a9b772ccdd190fef01a5540e42635cfd2d8b61,evidence/studies/simulation/20260906T220007467Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-25-1x4-infrastructure-plan-v1-ff946aaf-b5f3-4032-adbd-14102ca992cf-outcomes.json,sha256:89dae66c22e5fdfc6a2f942018cfb583de6752a8d85383bf23c974116e1468c8
25,4,vertical_empire,0,weighted,research_deploy_plan_v1,18,0,,0,0,False,7,3,6,4,evidence/studies/simulation/20260906T220007813Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-25-1x4-research-deploy-plan-v1-108207b6-297c-4147-acbb-26351d699f01.json,sha256:a6ac0f3001dd5a87fc4d08816883aeae1f44b4af67b97915362f1dd798a65f70,evidence/studies/simulation/20260906T220007813Z-tournament-0-19-0-b8f7d7ba3106-2038-construction-holdout-20260906-v1-block-25-1x4-research-deploy-plan-v1-108207b6-297c-4147-acbb-26351d699f01-outcomes.json,sha256:8a9276f8543b0758824c27f13a8f5725ccc8395cb2d1771e3bd57fe98d799ffb
