run_name,run_status,dataset_label,model_role,result_category,display_category,display_label,short_run_name,chart_label,pair_count,pairs_input_spec,schedule,group_label,eval_variant,eval_checkpoint,decode,external_bleu,external_chrf,indomain_bleu,evaluated_model
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T033442Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T033442Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.5088,58.1516,54.3753,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T033442Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T013050Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T013050Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.4725,59.0645,55.3885,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T013050Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T045717Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T045717Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.3818,58.5778,53.3306,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T045717Z/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T220906Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T220906Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.3516,58.6308,53.6478,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T220906Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T021203Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T021203Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.2679,58.0757,55.0978,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T021203Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T000816Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T000816Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.2658,58.4989,53.8396,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T000816Z/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T220428Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T220428Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.1961,58.6270,55.0061,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T220428Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T192822Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T192822Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,31.1363,57.6913,52.9668,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T192822Z/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T204640Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T204640Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.1040,58.0953,53.7266,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T204640Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T203554Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T203554Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,31.0910,58.4055,53.5193,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T203554Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T041600Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T041600Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,30.9738,58.3112,53.6174,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T041600Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T053842Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T053842Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,30.5940,57.8509,54.2923,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T053842Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T013436Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T013436Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,28.4786,56.7284,51.7370,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T013436Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2560_bf16_20260309T195639Z,completed,train_pairs.rows2560.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows2560_bf16,Student Stage A | stagea_goldgrid_rows2560_bf16,2560,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2560_bf16_20260309T195639Z/inputs/train_pairs.rows2560.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,27.9709,57.9468,48.7948,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2560_bf16_20260309T195639Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T001204Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T001204Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,27.6770,57.5271,47.8638,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T001204Z/stage_a/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T005321Z,completed,train_pairs.rows1920.merged.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T005321Z/inputs/train_pairs.rows1920.merged.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,27.6477,57.7483,45.8440,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T005321Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_full_train1280_20260303_114100,completed,Gold Legacy 1280,teacher,teacher_baseline,Teacher Baseline,Teacher Baseline | greedy,full_train1280,Teacher Baseline | full_train1280,1280,projects/distillation/translation/training_data/translate_distill_pairs.jsonl,A_then_B,teacher4b,teacher4b,,greedy,27.5437,59.3547,39.2681,/home/x/.cache/huggingface/hub/models--google--translategemma-4b-it/snapshots/10042cb0e6e7fdce748996a71dc3dc432a4e0c89
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260309T185602Z,completed,Gold Legacy 1280,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-006000 | greedy,stagea_goldgrid_rows1280_bf16,Student Stage A | stagea_goldgrid_rows1280_bf16,1280,projects/distillation/translation/training_data/gold/translate_distill_pairs.gold_legacy1280_20260303_b8f685a.jsonl,A_then_B,stage_a__checkpoint-006000,stage_a,checkpoint-006000,greedy,27.4061,57.1701,47.3852,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260309T185602Z/stage_a/checkpoint-006000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260308T164813Z,completed,Gold Legacy 1280,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_goldgrid_rows1280_bf16,Student Stage A | stagea_goldgrid_rows1280_bf16,1280,projects/distillation/translation/training_data/gold/translate_distill_pairs.gold_legacy1280_20260303_b8f685a.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,27.1978,57.2337,48.7992,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260308T164813Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2560_bf16_20260309T022454Z,contract_only,,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-001500 | greedy,stagea_goldgrid_rows2560_bf16,Student Stage A | stagea_goldgrid_rows2560_bf16,,"merge_jsonl(/home/x/deco/gamma/projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_01.q97_4484.rows320.jsonl,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_02.q97_1397.rows320.jsonl,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_03.q96_4352.rows320.jsonl,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_04.q96_3328.rows320.jsonl,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_05.q96_0642.rows320.jsonl,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_06.q95_9634.rows320.jsonl,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_07.q96_0567.rows320.jsonl,projects/distillation/translation/training_data/gold_shards_rebucketed/gold_rebucketed_320.pack_08.q97_3716.rows320.jsonl)",A_then_B,stage_a__checkpoint-001500,stage_a,checkpoint-001500,greedy,27.1233,57.0740,43.7387,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2560_bf16_20260309T022454Z/stage_a/checkpoint-001500
translategemma4b_es_en_gemma3_1b_stagea_goldlegacy1280_bf16_20260307T231031Z,completed,Gold Legacy 1280,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-008000 | greedy,stagea_goldlegacy1280_bf16,Student Stage A | stagea_goldlegacy1280_bf16,1280,projects/distillation/translation/training_data/gold/translate_distill_pairs.gold_legacy1280_20260303_b8f685a.jsonl,A_then_B,stage_a__checkpoint-008000,stage_a,checkpoint-008000,greedy,26.4766,56.7615,47.6425,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldlegacy1280_bf16_20260307T231031Z/stage_a/checkpoint-008000
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260308T164813Z,completed,gold_quality_4x640.train_3x640.jsonl,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-002000 | greedy,stagea_goldgrid_rows1920_bf16,Student Stage A | stagea_goldgrid_rows1920_bf16,1920,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.train_3x640.jsonl,A_then_B,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,26.0284,56.8031,47.9813,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260308T164813Z/stage_a/checkpoint-002000
baseline__google__translategemma-4b-it__2026-03-10T014945Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,google__translategemma-4b-it,External Baseline | google__translategemma-4b-it,,baseline,baseline,default,,,greedy,22.6563,56.8741,35.6382,google/translategemma-4b-it
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,contract_only,Merged Full 17532,student,student_stage_b,Student Stage B,Student Stage B | checkpoint-002000 | greedy,full_train17532_real1b,Student Stage B | full_train17532_real1b,17532,projects/distillation/translation/training_data/translate_distill_pairs_en_es_2way.train.merged.jsonl,A_then_B,stage_b__checkpoint-002000,stage_b,checkpoint-002000,greedy,7.9159,35.6396,87.3266,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210/stage_b/checkpoint-002000
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z,completed,Merged Subset 1280,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_cpu_subset1280_seed42,Student Stage A | stagea_cpu_subset1280_seed42,1280,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_1280.seed42.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,6.7827,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset1280_seed42_20260307T013333Z/stage_a/checkpoint-004000
translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z,contract_only,Merged Subset 2560,student,student_stage_a,Student Stage A,Student Stage A | checkpoint-004000 | greedy,stagea_cpu_subset2560_seed42,Student Stage A | stagea_cpu_subset2560_seed42,2560,projects/distillation/translation/training_data/subsets/translate_distill_pairs_en_es_2way.train.merged.subset_2560.seed42.jsonl,A_then_B,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,6.1746,,,projects/distillation/translation/runs/translategemma4b_es_en_gemma3_1b_stagea_cpu_subset2560_seed42_20260307T013333Z/stage_a/checkpoint-004000
baseline__google__gemma-3-1b-it__2026-03-10T135924Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,google__gemma-3-1b-it,External Baseline | google__gemma-3-1b-it,,baseline,baseline,final,final,,greedy,0.0315,15.7204,0.9504,google/gemma-3-1b-it
baseline__google__gemma-3-1b-it__2026-03-10T020400Z,baseline,,baseline,external_baseline,External Baseline,External Baseline | greedy,google__gemma-3-1b-it,External Baseline | google__gemma-3-1b-it,,baseline,baseline,final,final,,greedy,0.0285,15.4027,1.2862,google/gemma-3-1b-it
